shipment_id,order_id,ship_date,delivery_date,shipment_status,carrier,warehouse_id
85,116,2024-09-18,2024-09-23,LATE,CarrierB,5
86,118,2024-07-05,2024-07-09,ON_TIME,CarrierC,1
87,120,2024-07-21,2024-07-27,LATE,CarrierB,3
88,121,2024-10-17,2024-10-19,LATE,CarrierC,4
89,122,2024-02-18,2024-02-25,LATE,CarrierC,3
90,123,2024-09-12,2024-09-19,LATE,CarrierB,5
91,124,2024-02-18,2024-02-22,LATE,CarrierA,4
92,125,2024-08-19,2024-08-25,LATE,CarrierB,4
93,127,2024-11-01,2024-11-03,LATE,CarrierB,5
94,128,2024-08-08,2024-08-13,LATE,CarrierB,1
95,130,2024-07-22,2024-07-23,ON_TIME,CarrierB,5
96,131,2024-04-27,2024-04-28,LATE,CarrierB,2
97,132,2024-04-01,2024-04-02,ON_TIME,CarrierC,4
98,133,2024-02-27,2024-03-03,ON_TIME,CarrierB,4
99,134,2024-01-12,2024-01-13,LATE,CarrierA,5
100,135,2024-09-12,2024-09-18,LATE,CarrierC,5
101,136,2024-11-15,2024-11-21,LATE,CarrierC,5
102,138,2024-11-12,2024-11-16,ON_TIME,CarrierA,3
103,139,2024-01-06,2024-01-07,ON_TIME,CarrierB,4
104,140,2024-11-29,2024-12-05,LATE,CarrierB,4
105,142,2024-08-24,2024-08-27,LATE,CarrierC,3
106,143,2024-07-04,2024-07-11,LATE,CarrierB,1
107,144,2024-10-13,2024-10-16,ON_TIME,CarrierC,2
108,145,2024-05-02,2024-05-08,LATE,CarrierB,1
109,146,2024-06-07,2024-06-10,LATE,CarrierB,5
110,147,2024-11-18,2024-11-19,ON_TIME,CarrierB,1
111,148,2024-01-13,2024-01-16,LATE,CarrierB,3
112,149,2024-11-10,2024-11-15,LATE,CarrierA,4
113,150,2024-02-25,2024-03-01,LATE,CarrierB,5
114,151,2024-12-26,2025-01-01,LATE,CarrierA,3
115,152,2024-10-03,2024-10-05,LATE,CarrierA,3
116,153,2024-02-13,2024-02-14,ON_TIME,CarrierB,5
117,156,2024-11-19,2024-11-24,LATE,CarrierC,1
118,157,2024-06-17,2024-06-22,LATE,CarrierC,2
119,160,2024-02-23,2024-02-28,LATE,CarrierB,2
120,161,2024-07-22,2024-07-28,LATE,CarrierA,5
121,162,2024-10-29,2024-11-01,ON_TIME,CarrierA,3
122,163,2024-02-14,2024-02-20,LATE,CarrierB,1
123,165,2024-03-27,2024-04-02,LATE,CarrierA,4
124,166,2024-08-07,2024-08-13,LATE,CarrierA,3
125,167,2024-06-07,2024-06-12,LATE,CarrierB,2
126,169,2024-05-09,2024-05-10,LATE,CarrierC,1
127,170,2024-07-09,2024-07-16,LATE,CarrierC,1
128,171,2024-09-25,2024-09-30,LATE,CarrierA,5
129,172,2024-03-02,2024-03-06,LATE,CarrierA,2
130,174,2024-03-03,2024-03-09,LATE,CarrierB,3
131,175,2024-10-29,2024-11-02,ON_TIME,CarrierB,5
132,176,2024-05-07,2024-05-10,LATE,CarrierC,5
133,178,2024-03-05,2024-03-11,LATE,CarrierA,4
134,180,2024-01-16,2024-01-19,ON_TIME,CarrierB,4
135,182,2024-11-25,2024-11-30,LATE,CarrierB,3
136,183,2024-04-11,2024-04-17,LATE,CarrierC,1
137,184,2024-06-26,2024-07-02,LATE,CarrierB,3
138,185,2024-07-12,2024-07-17,LATE,CarrierC,3
139,186,2024-10-27,2024-11-03,LATE,CarrierB,1
140,187,2024-10-02,2024-10-09,LATE,CarrierA,5
141,188,2024-09-20,2024-09-23,LATE,CarrierC,4
142,190,2024-08-24,2024-08-28,LATE,CarrierB,1
143,191,2024-10-29,2024-11-05,LATE,CarrierC,5
144,193,2024-09-05,2024-09-10,LATE,CarrierA,5
145,194,2024-01-24,2024-01-26,ON_TIME,CarrierC,3
146,195,2024-11-19,2024-11-20,ON_TIME,CarrierC,4
147,196,2024-08-31,2024-09-04,LATE,CarrierA,3
148,197,2024-10-14,2024-10-20,LATE,CarrierC,1
149,200,2024-06-12,2024-06-14,ON_TIME,CarrierA,2
150,201,2024-05-25,2024-05-28,ON_TIME,CarrierC,4
151,203,2024-04-15,2024-04-21,LATE,CarrierC,4
152,204,2024-11-08,2024-11-15,LATE,CarrierB,2
153,205,2024-05-06,2024-05-09,LATE,CarrierA,4
154,207,2024-09-08,2024-09-11,LATE,CarrierC,5
155,208,2024-11-19,2024-11-22,LATE,CarrierA,4
156,209,2024-08-15,2024-08-16,ON_TIME,CarrierA,4
157,210,2024-07-07,2024-07-14,LATE,CarrierA,4
158,215,2024-07-15,2024-07-16,ON_TIME,CarrierA,5
159,217,2024-10-13,2024-10-19,LATE,CarrierA,5
160,221,2024-08-11,2024-08-14,LATE,CarrierC,2
161,222,2024-10-05,2024-10-11,LATE,CarrierA,3
162,223,2024-02-10,2024-02-14,LATE,CarrierC,1
163,226,2024-04-22,2024-04-29,LATE,CarrierB,2
164,227,2024-06-16,2024-06-23,LATE,CarrierC,2
165,228,2024-02-26,2024-03-03,LATE,CarrierB,4
166,231,2024-02-12,2024-02-18,LATE,CarrierB,5
167,232,2024-02-11,2024-02-14,ON_TIME,CarrierB,1
168,234,2024-06-08,2024-06-12,LATE,CarrierA,5
169,235,2024-11-27,2024-12-01,LATE,CarrierA,5
170,236,2024-07-03,2024-07-07,LATE,CarrierA,1
171,237,2024-07-01,2024-07-02,ON_TIME,CarrierA,2
172,241,2024-12-23,2024-12-24,ON_TIME,CarrierA,4
173,242,2024-02-20,2024-02-23,LATE,CarrierC,5
174,244,2024-10-27,2024-11-03,LATE,CarrierB,4
175,246,2024-01-18,2024-01-20,LATE,CarrierA,1
176,247,2024-03-28,2024-03-29,ON_TIME,CarrierA,1
177,249,2024-02-22,2024-02-26,LATE,CarrierC,3
178,250,2024-02-05,2024-02-12,LATE,CarrierC,2
179,253,2024-12-02,2024-12-05,ON_TIME,CarrierB,4
180,254,2024-10-25,2024-10-28,LATE,CarrierB,3
181,256,2024-03-09,2024-03-10,ON_TIME,CarrierA,5
182,258,2024-05-05,2024-05-10,LATE,CarrierB,2
183,263,2024-02-25,2024-03-02,LATE,CarrierB,1
184,264,2024-06-27,2024-07-03,LATE,CarrierC,3
185,265,2024-05-15,2024-05-17,LATE,CarrierB,5
186,266,2024-12-29,2025-01-01,LATE,CarrierB,4
187,267,2024-03-20,2024-03-21,ON_TIME,CarrierC,5
188,268,2024-12-18,2024-12-19,ON_TIME,CarrierA,4
189,271,2024-04-02,2024-04-03,ON_TIME,CarrierB,3
190,273,2024-11-20,2024-11-21,ON_TIME,CarrierC,2
191,278,2024-02-25,2024-03-03,LATE,CarrierB,3
192,279,2024-09-28,2024-09-30,ON_TIME,CarrierB,3
193,280,2024-01-06,2024-01-13,LATE,CarrierA,2
194,281,2024-04-11,2024-04-14,LATE,CarrierA,1
195,282,2024-10-13,2024-10-16,ON_TIME,CarrierB,5
196,283,2024-02-24,2024-02-27,ON_TIME,CarrierC,4
197,284,2024-08-07,2024-08-08,ON_TIME,CarrierA,2
198,285,2024-11-24,2024-11-30,LATE,CarrierC,3
199,288,2024-08-03,2024-08-09,LATE,CarrierC,3
200,290,2024-12-29,2025-01-04,LATE,CarrierC,4
201,291,2025-01-01,2025-01-02,LATE,CarrierA,5
202,292,2024-08-10,2024-08-11,LATE,CarrierC,2
203,293,2024-12-06,2024-12-13,LATE,CarrierB,2
204,294,2024-12-13,2024-12-19,LATE,CarrierB,3
205,295,2024-07-08,2024-07-11,ON_TIME,CarrierC,1
206,298,2024-11-07,2024-11-12,LATE,CarrierA,4
207,299,2024-04-08,2024-04-15,LATE,CarrierB,5
208,300,2024-04-07,2024-04-14,LATE,CarrierB,2
209,302,2024-03-15,2024-03-21,LATE,CarrierA,1
210,303,2024-09-12,2024-09-18,LATE,CarrierC,3
211,304,2024-08-21,2024-08-25,LATE,CarrierA,1
212,305,2024-06-18,2024-06-21,LATE,CarrierC,2
213,307,2024-06-05,2024-06-11,LATE,CarrierC,3
214,308,2024-08-11,2024-08-14,LATE,CarrierA,5
215,309,2024-12-29,2025-01-02,ON_TIME,CarrierA,4
216,311,2024-04-10,2024-04-14,LATE,CarrierB,4
217,312,2024-08-07,2024-08-11,LATE,CarrierC,3
218,313,2024-08-31,2024-09-06,LATE,CarrierB,2
219,314,2024-09-17,2024-09-18,LATE,CarrierB,2
220,315,2024-07-15,2024-07-22,LATE,CarrierC,2
221,316,2024-05-30,2024-06-02,LATE,CarrierB,2
222,317,2024-06-06,2024-06-08,LATE,CarrierC,5
223,318,2024-01-22,2024-01-26,ON_TIME,CarrierB,1
224,319,2024-04-25,2024-05-01,LATE,CarrierB,2
225,320,2024-04-25,2024-04-28,LATE,CarrierC,5
226,321,2024-07-29,2024-08-04,LATE,CarrierC,3
227,322,2024-01-27,2024-01-28,ON_TIME,CarrierB,5
228,323,2024-10-11,2024-10-13,ON_TIME,CarrierC,1
229,324,2024-10-19,2024-10-21,LATE,CarrierC,3
230,325,2024-12-30,2025-01-03,LATE,CarrierA,4
231,326,2024-02-26,2024-03-03,LATE,CarrierA,3
232,327,2024-09-24,2024-09-28,LATE,CarrierB,2
233,329,2024-12-03,2024-12-04,ON_TIME,CarrierC,5
234,330,2024-04-20,2024-04-27,LATE,CarrierC,2
235,331,2024-07-22,2024-07-24,LATE,CarrierB,2
236,332,2024-07-20,2024-07-22,ON_TIME,CarrierA,4
237,333,2024-12-02,2024-12-06,LATE,CarrierB,2
238,336,2024-12-20,2024-12-22,ON_TIME,CarrierB,1
239,337,2024-06-27,2024-07-03,LATE,CarrierC,2
240,338,2024-03-04,2024-03-06,ON_TIME,CarrierC,4
241,339,2024-02-05,2024-02-10,ON_TIME,CarrierC,4
242,340,2024-12-23,2024-12-30,LATE,CarrierB,1
243,344,2024-02-14,2024-02-19,LATE,CarrierA,5
244,345,2024-11-16,2024-11-20,LATE,CarrierB,3
245,346,2024-08-14,2024-08-15,ON_TIME,CarrierA,4
246,347,2024-05-28,2024-05-31,LATE,CarrierA,2
247,349,2024-01-14,2024-01-17,ON_TIME,CarrierC,3
248,350,2024-01-27,2024-02-02,LATE,CarrierC,4
249,351,2024-09-17,2024-09-18,ON_TIME,CarrierA,3
250,352,2024-05-09,2024-05-13,LATE,CarrierB,1
251,353,2024-02-08,2024-02-11,LATE,CarrierC,1
252,356,2024-07-03,2024-07-04,ON_TIME,CarrierB,5
253,357,2024-06-24,2024-06-28,LATE,CarrierB,2
254,358,2024-07-07,2024-07-09,LATE,CarrierC,1
255,359,2024-10-09,2024-10-12,LATE,CarrierC,4
256,360,2024-03-17,2024-03-23,LATE,CarrierB,5
257,361,2024-10-21,2024-10-24,LATE,CarrierA,1
258,362,2024-01-16,2024-01-17,ON_TIME,CarrierC,3
259,363,2024-07-09,2024-07-11,LATE,CarrierA,3
260,364,2024-06-22,2024-06-29,LATE,CarrierA,3
261,365,2024-07-04,2024-07-08,ON_TIME,CarrierC,4
262,366,2024-02-02,2024-02-07,LATE,CarrierC,1
263,368,2024-12-16,2024-12-20,LATE,CarrierB,5
264,369,2024-10-29,2024-10-30,LATE,CarrierA,2
265,370,2024-11-06,2024-11-13,LATE,CarrierA,2
266,372,2024-11-01,2024-11-06,LATE,CarrierA,2
267,373,2024-01-26,2024-01-27,ON_TIME,CarrierC,3
268,374,2024-12-12,2024-12-16,LATE,CarrierC,2
269,376,2024-07-12,2024-07-16,LATE,CarrierA,3
270,377,2024-06-13,2024-06-19,LATE,CarrierA,3
271,378,2024-02-25,2024-02-26,LATE,CarrierA,5
272,379,2024-06-25,2024-07-02,LATE,CarrierC,1
273,380,2024-07-16,2024-07-18,LATE,CarrierA,3
274,382,2024-10-05,2024-10-09,ON_TIME,CarrierA,2
275,383,2024-07-08,2024-07-12,LATE,CarrierB,4
276,384,2024-11-06,2024-11-11,LATE,CarrierB,4
277,385,2024-11-26,2024-11-30,ON_TIME,CarrierC,2
278,386,2024-08-02,2024-08-04,ON_TIME,CarrierA,2
279,387,2024-11-26,2024-11-29,LATE,CarrierA,1
280,388,2024-01-31,2024-02-05,LATE,CarrierB,3
281,390,2024-05-03,2024-05-07,LATE,CarrierC,3
282,391,2024-06-07,2024-06-13,LATE,CarrierC,4
283,392,2024-03-28,2024-03-29,ON_TIME,CarrierA,2
284,393,2024-10-31,2024-11-06,LATE,CarrierA,5
285,395,2024-01-03,2024-01-05,ON_TIME,CarrierC,1
286,396,2024-05-12,2024-05-18,LATE,CarrierC,5
287,397,2024-10-30,2024-11-06,LATE,CarrierB,2
288,398,2024-03-21,2024-03-22,ON_TIME,CarrierA,4
289,399,2024-05-27,2024-06-01,LATE,CarrierC,1
290,400,2024-06-16,2024-06-23,LATE,CarrierC,1
291,401,2024-11-10,2024-11-11,ON_TIME,CarrierB,3
292,403,2024-11-25,2024-11-28,LATE,CarrierA,4
293,404,2024-10-04,2024-10-07,ON_TIME,CarrierB,2
294,405,2024-07-23,2024-07-25,ON_TIME,CarrierC,1
295,406,2024-02-23,2024-03-01,LATE,CarrierC,2
296,407,2024-04-18,2024-04-19,ON_TIME,CarrierC,1
297,408,2024-02-25,2024-03-01,LATE,CarrierC,1
298,409,2024-09-02,2024-09-03,ON_TIME,CarrierB,4
299,412,2024-01-01,2024-01-06,LATE,CarrierA,2
300,413,2024-12-16,2024-12-22,LATE,CarrierC,2
301,414,2024-05-19,2024-05-20,ON_TIME,CarrierA,4
302,417,2024-08-21,2024-08-26,LATE,CarrierA,5
303,418,2024-07-09,2024-07-16,LATE,CarrierC,3
304,419,2024-01-18,2024-01-21,ON_TIME,CarrierB,1
305,422,2024-07-26,2024-07-27,ON_TIME,CarrierA,3
306,423,2024-07-05,2024-07-10,LATE,CarrierA,5
307,424,2024-03-06,2024-03-08,ON_TIME,CarrierB,2
308,425,2024-11-29,2024-12-03,LATE,CarrierC,5
309,429,2024-05-24,2024-05-25,LATE,CarrierC,5
310,430,2024-07-24,2024-07-29,LATE,CarrierA,1
311,432,2024-07-16,2024-07-22,LATE,CarrierC,4
312,433,2024-11-29,2024-12-02,LATE,CarrierA,1
313,434,2024-11-05,2024-11-10,LATE,CarrierB,1
314,435,2024-07-16,2024-07-22,LATE,CarrierC,5
315,436,2024-08-15,2024-08-21,LATE,CarrierC,2
316,438,2024-07-20,2024-07-26,LATE,CarrierC,1
317,440,2024-01-18,2024-01-21,LATE,CarrierC,2
318,441,2024-10-14,2024-10-20,LATE,CarrierB,5
319,442,2024-11-29,2024-11-30,ON_TIME,CarrierB,4
320,443,2024-08-03,2024-08-06,ON_TIME,CarrierB,3
321,444,2024-02-07,2024-02-11,LATE,CarrierA,3
322,446,2024-07-30,2024-07-31,ON_TIME,CarrierA,5
323,447,2024-02-15,2024-02-18,LATE,CarrierB,5
324,450,2024-02-20,2024-02-23,LATE,CarrierA,2
325,451,2024-08-19,2024-08-26,LATE,CarrierA,4
326,453,2024-03-31,2024-04-01,ON_TIME,CarrierB,2
327,454,2024-08-09,2024-08-12,LATE,CarrierC,4
328,455,2024-02-21,2024-02-25,LATE,CarrierC,1
329,456,2024-01-22,2024-01-29,LATE,CarrierB,4
330,457,2024-04-09,2024-04-15,LATE,CarrierB,3
331,458,2024-05-13,2024-05-15,LATE,CarrierA,5
332,460,2024-05-15,2024-05-20,ON_TIME,CarrierB,1
333,461,2024-02-09,2024-02-14,LATE,CarrierA,4
334,463,2024-04-16,2024-04-22,LATE,CarrierC,3
335,464,2024-05-28,2024-06-04,LATE,CarrierA,4
336,465,2024-12-01,2024-12-02,ON_TIME,CarrierA,4
337,466,2024-08-14,2024-08-20,LATE,CarrierB,2
338,467,2024-04-29,2024-05-04,LATE,CarrierC,2
339,468,2024-01-04,2024-01-10,LATE,CarrierB,3
340,469,2024-04-29,2024-05-03,LATE,CarrierB,3
341,471,2024-01-13,2024-01-19,LATE,CarrierA,4
342,472,2024-10-23,2024-10-24,LATE,CarrierB,5
343,473,2024-12-09,2024-12-13,LATE,CarrierC,3
344,474,2024-06-17,2024-06-19,LATE,CarrierC,1
345,475,2024-02-23,2024-02-25,ON_TIME,CarrierA,2
346,476,2024-09-27,2024-09-28,ON_TIME,CarrierB,3
347,477,2024-09-05,2024-09-07,ON_TIME,CarrierC,3
348,478,2024-05-10,2024-05-15,LATE,CarrierA,4
349,479,2024-03-17,2024-03-18,ON_TIME,CarrierA,3
350,481,2024-05-26,2024-05-30,ON_TIME,CarrierA,4
351,482,2024-02-19,2024-02-25,LATE,CarrierC,4
352,483,2024-07-20,2024-07-23,LATE,CarrierA,2
353,484,2024-03-12,2024-03-18,LATE,CarrierB,5
354,485,2024-04-01,2024-04-05,LATE,CarrierC,5
355,486,2024-07-29,2024-07-31,ON_TIME,CarrierA,3
356,487,2024-12-09,2024-12-15,LATE,CarrierB,5
357,488,2024-12-07,2024-12-10,LATE,CarrierA,4
358,489,2024-02-20,2024-02-27,LATE,CarrierC,5
359,490,2024-02-01,2024-02-08,LATE,CarrierA,5
360,492,2024-01-20,2024-01-24,LATE,CarrierC,2
361,494,2024-02-17,2024-02-21,LATE,CarrierB,5
362,495,2024-12-13,2024-12-14,ON_TIME,CarrierC,5
363,497,2024-06-26,2024-06-27,ON_TIME,CarrierB,3
364,498,2024-09-11,2024-09-13,LATE,CarrierB,5
365,499,2024-08-16,2024-08-21,LATE,CarrierC,1
366,500,2024-05-29,2024-06-05,LATE,CarrierC,2
367,502,2024-11-29,2024-12-06,LATE,CarrierA,3
368,503,2024-08-28,2024-08-31,LATE,CarrierC,2
369,505,2024-07-09,2024-07-12,LATE,CarrierC,5
370,506,2024-11-20,2024-11-21,ON_TIME,CarrierA,3
371,507,2024-12-02,2024-12-04,LATE,CarrierC,5
372,508,2024-07-30,2024-08-02,LATE,CarrierA,4
373,510,2024-07-01,2024-07-07,LATE,CarrierC,5
374,511,2024-03-28,2024-03-31,LATE,CarrierA,5
375,512,2024-09-28,2024-09-30,ON_TIME,CarrierA,3
376,513,2024-07-01,2024-07-05,LATE,CarrierC,4
377,514,2024-09-03,2024-09-05,LATE,CarrierC,4
378,516,2024-01-10,2024-01-15,LATE,CarrierB,1
379,517,2024-09-27,2024-09-30,LATE,CarrierC,1
380,518,2024-01-13,2024-01-18,LATE,CarrierC,4
381,519,2024-08-14,2024-08-19,LATE,CarrierC,3
382,520,2024-09-23,2024-09-28,LATE,CarrierA,4
383,521,2024-08-30,2024-09-02,ON_TIME,CarrierC,3
384,522,2024-06-29,2024-07-04,LATE,CarrierC,5
385,523,2024-07-01,2024-07-06,LATE,CarrierA,1
386,524,2024-05-07,2024-05-12,LATE,CarrierA,4
387,525,2024-10-09,2024-10-15,LATE,CarrierA,2
388,526,2024-12-24,2024-12-26,LATE,CarrierA,5
389,527,2024-07-11,2024-07-12,LATE,CarrierC,3
390,528,2024-01-18,2024-01-21,LATE,CarrierA,2
391,530,2024-01-23,2024-01-26,LATE,CarrierB,4
392,531,2024-01-16,2024-01-19,ON_TIME,CarrierA,4
393,532,2024-09-25,2024-09-26,ON_TIME,CarrierC,5
394,533,2024-02-04,2024-02-10,LATE,CarrierC,5
395,535,2024-03-12,2024-03-13,ON_TIME,CarrierC,5
396,536,2024-02-22,2024-02-27,LATE,CarrierC,5
397,537,2024-03-06,2024-03-08,ON_TIME,CarrierA,1
398,538,2024-10-29,2024-11-05,LATE,CarrierA,1
399,539,2024-11-30,2024-12-06,LATE,CarrierB,1
400,540,2024-08-15,2024-08-16,ON_TIME,CarrierC,5
401,541,2024-08-10,2024-08-12,ON_TIME,CarrierC,1
402,543,2024-01-20,2024-01-21,ON_TIME,CarrierC,5
403,544,2024-08-06,2024-08-07,LATE,CarrierA,5
404,546,2024-11-05,2024-11-06,LATE,CarrierB,2
405,547,2024-06-24,2024-06-27,LATE,CarrierB,3
406,548,2024-02-28,2024-03-05,LATE,CarrierB,3
407,549,2024-12-15,2024-12-22,LATE,CarrierA,1
408,550,2024-01-11,2024-01-13,LATE,CarrierC,1
409,552,2024-10-22,2024-10-26,LATE,CarrierB,1
410,553,2024-01-22,2024-01-25,ON_TIME,CarrierB,3
411,555,2024-12-20,2024-12-23,LATE,CarrierC,2
412,556,2024-11-25,2024-12-01,LATE,CarrierA,1
413,557,2024-06-20,2024-06-27,LATE,CarrierC,1
414,559,2024-03-31,2024-04-07,LATE,CarrierB,5
415,560,2024-08-14,2024-08-16,LATE,CarrierA,1
416,561,2024-10-20,2024-10-21,LATE,CarrierA,1
417,562,2024-12-22,2024-12-26,LATE,CarrierA,1
418,563,2024-09-08,2024-09-09,ON_TIME,CarrierB,3
419,564,2024-10-24,2024-10-29,ON_TIME,CarrierB,2
420,566,2024-01-16,2024-01-20,LATE,CarrierA,1
421,567,2024-12-02,2024-12-08,LATE,CarrierC,3
422,569,2024-06-29,2024-07-01,LATE,CarrierC,5
423,572,2024-04-04,2024-04-09,ON_TIME,CarrierA,5
424,573,2024-11-09,2024-11-10,ON_TIME,CarrierC,5
425,574,2024-06-17,2024-06-18,ON_TIME,CarrierB,1
426,576,2024-01-04,2024-01-08,LATE,CarrierA,4
427,577,2024-01-18,2024-01-24,LATE,CarrierB,4
428,578,2024-05-11,2024-05-17,LATE,CarrierC,3
429,579,2024-01-26,2024-02-01,LATE,CarrierA,4
430,580,2024-04-07,2024-04-12,ON_TIME,CarrierC,2
431,581,2024-06-06,2024-06-10,LATE,CarrierC,4
432,583,2024-01-12,2024-01-13,LATE,CarrierB,1
433,584,2024-11-19,2024-11-24,LATE,CarrierA,3
434,585,2024-01-24,2024-01-30,LATE,CarrierC,2
435,586,2024-11-06,2024-11-12,LATE,CarrierA,3
436,587,2024-07-04,2024-07-08,LATE,CarrierC,3
437,588,2024-08-05,2024-08-08,ON_TIME,CarrierB,4
438,589,2024-08-01,2024-08-05,LATE,CarrierA,4
439,590,2024-12-01,2024-12-06,LATE,CarrierA,2
440,591,2024-06-06,2024-06-13,LATE,CarrierB,2
441,592,2024-07-28,2024-08-01,ON_TIME,CarrierB,5
442,594,2024-02-22,2024-02-26,LATE,CarrierA,2
443,595,2024-08-16,2024-08-23,LATE,CarrierA,4
444,596,2024-07-03,2024-07-09,LATE,CarrierB,1
445,597,2024-01-24,2024-01-30,LATE,CarrierA,2
446,598,2024-04-18,2024-04-20,ON_TIME,CarrierA,3
447,600,2024-05-01,2024-05-05,LATE,CarrierC,4
448,601,2024-05-17,2024-05-18,ON_TIME,CarrierC,2
449,602,2024-05-02,2024-05-04,LATE,CarrierC,2
450,603,2024-06-11,2024-06-18,LATE,CarrierA,3
451,604,2024-07-26,2024-07-29,ON_TIME,CarrierB,1
