order_id,customer_id,order_date,required_ship_date,order_status,order_amount,priority,region
63,1840,2024-07-07,2024-07-10,PENDING,16.95,LOW,North
64,1166,2024-03-23,2024-03-26,SHIPPED,33.95,LOW,South
65,1273,2024-12-16,2024-12-20,SHIPPED,17.5,HIGH,North
66,1387,2024-10-09,2024-10-11,SHIPPED,36.18,MEDIUM,North
67,1600,2024-05-03,2024-05-04,SHIPPED,15.33,LOW,East
68,1315,2024-06-05,2024-06-10,SHIPPED,16.38,MEDIUM,South
69,1013,2024-03-27,2024-03-31,SHIPPED,66.51,MEDIUM,South
70,1241,2024-05-27,2024-06-01,SHIPPED,54.82,HIGH,East
71,1776,2024-03-10,2024-03-15,SHIPPED,48.88,LOW,North
72,1345,2024-03-16,2024-03-17,PENDING,58.23,HIGH,South
73,1564,2024-04-23,2024-04-26,SHIPPED,26.6,LOW,North
74,1897,2024-01-03,2024-01-04,SHIPPED,33.25,LOW,South
75,1339,2024-08-21,2024-08-26,SHIPPED,11.23,HIGH,North
76,1091,2024-06-15,2024-06-19,SHIPPED,32.67,MEDIUM,West
77,1366,2024-04-08,2024-04-13,SHIPPED,50.3,LOW,South
78,1955,2024-05-03,2024-05-08,SHIPPED,40.64,LOW,South
79,1454,2024-02-14,2024-02-15,SHIPPED,34.79,MEDIUM,East
80,1427,2024-11-19,2024-11-21,SHIPPED,13.8,LOW,East
81,1508,2024-10-13,2024-10-18,CANCELLED,75.92,LOW,West
82,1775,2024-04-15,2024-04-17,SHIPPED,37.93,LOW,North
83,1942,2024-10-20,2024-10-23,PENDING,29.58,HIGH,South
84,1034,2024-05-13,2024-05-18,SHIPPED,92.26,MEDIUM,East
85,1205,2024-01-08,2024-01-09,SHIPPED,75.42,MEDIUM,West
86,1080,2024-01-28,2024-01-31,SHIPPED,18.6,LOW,South
87,1931,2024-09-27,2024-10-01,SHIPPED,36.82,LOW,South
88,1561,2024-08-10,2024-08-15,CANCELLED,24.61,HIGH,South
89,1871,2024-01-08,2024-01-09,SHIPPED,21.45,MEDIUM,East
90,1387,2024-11-05,2024-11-10,CANCELLED,18.98,MEDIUM,East
91,1001,2024-05-13,2024-05-14,SHIPPED,53.3,LOW,West
92,1389,2024-01-29,2024-01-30,SHIPPED,35.22,MEDIUM,South
93,1565,2024-04-24,2024-04-26,SHIPPED,15.67,LOW,West
94,1105,2024-02-03,2024-02-08,SHIPPED,23.99,LOW,East
95,1771,2024-01-07,2024-01-08,SHIPPED,28.59,MEDIUM,North
96,1821,2024-02-09,2024-02-10,SHIPPED,14.45,LOW,South
97,1476,2024-11-25,2024-11-28,SHIPPED,26.31,MEDIUM,East
98,1702,2024-03-02,2024-03-07,CANCELLED,31.26,LOW,West
99,1401,2024-03-26,2024-03-29,SHIPPED,24.65,LOW,South
100,1729,2024-07-31,2024-08-02,SHIPPED,33.28,LOW,East
101,1555,2024-04-25,2024-04-27,SHIPPED,31.56,MEDIUM,West
102,1161,2024-03-05,2024-03-06,SHIPPED,38.24,MEDIUM,East
103,1201,2024-10-23,2024-10-24,CANCELLED,105.55,LOW,East
104,1957,2024-06-18,2024-06-19,SHIPPED,71.81,HIGH,North
105,1995,2024-04-25,2024-04-30,SHIPPED,20.35,MEDIUM,East
106,1269,2024-11-17,2024-11-22,SHIPPED,29.68,LOW,South
107,1862,2024-04-25,2024-04-29,PENDING,38.3,MEDIUM,South
108,1815,2024-08-08,2024-08-09,PENDING,8.8,LOW,West
109,1270,2024-12-22,2024-12-25,SHIPPED,77.55,LOW,North
110,1455,2024-02-19,2024-02-23,SHIPPED,44.21,HIGH,South
111,1461,2024-11-22,2024-11-27,PENDING,28.3,HIGH,West
112,1726,2024-12-01,2024-12-06,SHIPPED,14.95,MEDIUM,East
113,1251,2024-03-19,2024-03-20,SHIPPED,39.28,LOW,West
114,1701,2024-01-20,2024-01-23,SHIPPED,16.45,MEDIUM,West
115,1295,2024-02-06,2024-02-09,SHIPPED,33.51,LOW,North
116,1724,2024-09-15,2024-09-17,SHIPPED,34.09,LOW,West
117,1719,2024-04-02,2024-04-03,SHIPPED,36.07,HIGH,South
118,1748,2024-07-05,2024-07-10,SHIPPED,13.59,HIGH,West
119,1337,2024-12-22,2024-12-23,PENDING,21.49,HIGH,West
120,1878,2024-07-19,2024-07-20,SHIPPED,45.25,LOW,North
121,1052,2024-10-14,2024-10-16,SHIPPED,47.22,LOW,East
122,1791,2024-02-17,2024-02-19,SHIPPED,16.52,HIGH,West
123,1921,2024-09-09,2024-09-13,SHIPPED,34.08,MEDIUM,East
124,1216,2024-02-15,2024-02-16,SHIPPED,15.33,LOW,West
125,1763,2024-08-18,2024-08-23,SHIPPED,104.69,MEDIUM,East
126,1187,2024-04-04,2024-04-06,PENDING,23.93,MEDIUM,North
127,1379,2024-10-29,2024-11-02,SHIPPED,49.34,MEDIUM,West
128,1492,2024-08-05,2024-08-09,SHIPPED,7.26,MEDIUM,West
129,1040,2024-02-09,2024-02-13,PENDING,45.26,MEDIUM,East
130,1156,2024-07-21,2024-07-26,SHIPPED,22.63,LOW,East
131,1014,2024-04-25,2024-04-27,SHIPPED,34.24,MEDIUM,East
132,1812,2024-03-31,2024-04-03,SHIPPED,55.48,MEDIUM,North
133,1064,2024-02-27,2024-03-03,SHIPPED,34.31,MEDIUM,North
134,1856,2024-01-10,2024-01-11,SHIPPED,27.53,LOW,South
135,1838,2024-09-12,2024-09-15,SHIPPED,44.71,MEDIUM,North
136,1520,2024-11-12,2024-11-17,SHIPPED,26.92,LOW,North
137,1343,2024-09-05,2024-09-07,PENDING,59.44,MEDIUM,North
138,1128,2024-11-12,2024-11-16,SHIPPED,25.86,LOW,West
139,1647,2024-01-06,2024-01-11,SHIPPED,60.23,HIGH,South
140,1471,2024-11-26,2024-11-27,SHIPPED,46.5,LOW,North
141,1062,2024-07-06,2024-07-07,PENDING,14.53,LOW,East
142,1138,2024-08-22,2024-08-23,SHIPPED,36.11,MEDIUM,West
143,1498,2024-07-01,2024-07-04,SHIPPED,40.11,LOW,East
144,1592,2024-10-13,2024-10-17,SHIPPED,45.44,MEDIUM,East
145,1391,2024-05-02,2024-05-07,SHIPPED,35.47,LOW,West
146,1674,2024-06-06,2024-06-09,SHIPPED,38.97,HIGH,West
147,1418,2024-11-18,2024-11-23,SHIPPED,34.42,MEDIUM,West
148,1288,2024-01-13,2024-01-15,SHIPPED,56.2,LOW,West
149,1378,2024-11-10,2024-11-12,SHIPPED,32.45,LOW,East
150,1772,2024-02-23,2024-02-28,SHIPPED,30.75,MEDIUM,East
151,1489,2024-12-25,2024-12-28,SHIPPED,34.13,HIGH,West
152,1230,2024-10-03,2024-10-04,SHIPPED,24.88,MEDIUM,East
153,1040,2024-02-12,2024-02-15,SHIPPED,18.76,LOW,West
154,1027,2024-09-23,2024-09-26,PENDING,17.72,MEDIUM,East
155,1134,2024-04-18,2024-04-23,PENDING,26.55,LOW,North
156,1200,2024-11-18,2024-11-21,SHIPPED,98.02,HIGH,East
157,1839,2024-06-14,2024-06-16,SHIPPED,48.03,LOW,North
158,1779,2024-12-16,2024-12-21,PENDING,53.61,LOW,North
159,1929,2024-04-15,2024-04-20,SHIPPED,49.15,LOW,East
160,1032,2024-02-20,2024-02-25,SHIPPED,89.77,MEDIUM,South
161,1047,2024-07-22,2024-07-25,SHIPPED,38.15,LOW,West
162,1502,2024-10-28,2024-11-01,SHIPPED,29.46,LOW,North
163,1406,2024-02-12,2024-02-13,SHIPPED,22.96,LOW,West
164,1573,2024-10-09,2024-10-10,PENDING,49.95,HIGH,East
165,1727,2024-03-25,2024-03-27,SHIPPED,46.48,MEDIUM,West
166,1804,2024-08-04,2024-08-09,SHIPPED,13.18,MEDIUM,South
167,1098,2024-06-06,2024-06-07,SHIPPED,24.79,LOW,South
168,1683,2024-12-15,2024-12-18,CANCELLED,25.52,HIGH,South
169,1871,2024-05-06,2024-05-09,SHIPPED,26.32,MEDIUM,East
170,1725,2024-07-09,2024-07-12,SHIPPED,73.66,LOW,North
171,1986,2024-09-22,2024-09-24,SHIPPED,35.94,MEDIUM,West
172,1546,2024-02-29,2024-03-05,SHIPPED,32.07,HIGH,West
173,1960,2024-10-09,2024-10-10,PENDING,26.94,LOW,West
174,1738,2024-03-02,2024-03-07,SHIPPED,48.45,HIGH,East
175,1612,2024-10-28,2024-11-02,SHIPPED,17.43,MEDIUM,East
176,1942,2024-05-05,2024-05-08,SHIPPED,88.65,HIGH,North
177,1461,2024-06-20,2024-06-21,PENDING,42.64,MEDIUM,West
178,1642,2024-03-03,2024-03-05,SHIPPED,58.66,MEDIUM,South
179,1768,2024-09-16,2024-09-21,PENDING,18.11,MEDIUM,North
180,1004,2024-01-16,2024-01-20,SHIPPED,122.02,HIGH,West
181,1217,2024-06-27,2024-06-30,CANCELLED,11.16,MEDIUM,East
182,1502,2024-11-25,2024-11-29,SHIPPED,23.07,LOW,East
183,1766,2024-04-10,2024-04-12,SHIPPED,49.93,LOW,West
184,1397,2024-06-24,2024-06-26,SHIPPED,20.56,LOW,South
185,1870,2024-07-11,2024-07-13,SHIPPED,29.77,LOW,West
186,1794,2024-10-27,2024-10-29,SHIPPED,49.08,LOW,West
187,1392,2024-09-29,2024-09-30,SHIPPED,73.25,LOW,West
188,1206,2024-09-17,2024-09-21,SHIPPED,29.06,MEDIUM,East
189,1014,2024-06-23,2024-06-26,PENDING,104.98,HIGH,West
190,1857,2024-08-21,2024-08-25,SHIPPED,36.27,MEDIUM,North
191,1553,2024-10-26,2024-10-27,SHIPPED,33.23,HIGH,East
192,1891,2024-08-03,2024-08-08,PENDING,58.32,LOW,North
193,1460,2024-09-03,2024-09-05,SHIPPED,42.13,LOW,South
194,1690,2024-01-21,2024-01-26,SHIPPED,46.08,LOW,South
195,1574,2024-11-19,2024-11-21,SHIPPED,34.6,LOW,South
196,1863,2024-08-30,2024-09-02,SHIPPED,108.08,HIGH,East
197,1742,2024-10-14,2024-10-16,SHIPPED,38.67,LOW,South
198,1240,2024-10-06,2024-10-08,CANCELLED,35.5,LOW,East
199,1563,2024-08-31,2024-09-05,SHIPPED,83.93,LOW,West
200,1095,2024-06-11,2024-06-16,SHIPPED,31.82,MEDIUM,West
201,1899,2024-05-25,2024-05-30,SHIPPED,31.58,LOW,East
202,1733,2024-03-07,2024-03-08,SHIPPED,34.25,MEDIUM,South
203,1484,2024-04-12,2024-04-14,SHIPPED,18.46,LOW,North
204,1406,2024-11-05,2024-11-10,SHIPPED,28.82,LOW,North
205,1230,2024-05-04,2024-05-05,SHIPPED,15.96,MEDIUM,South
206,1748,2024-04-26,2024-04-29,PENDING,20.54,MEDIUM,North
207,1654,2024-09-07,2024-09-10,SHIPPED,57.06,LOW,West
208,1170,2024-11-16,2024-11-18,SHIPPED,43.23,MEDIUM,East
209,1540,2024-08-13,2024-08-18,SHIPPED,44.62,LOW,South
210,1035,2024-07-06,2024-07-08,SHIPPED,18.35,MEDIUM,North
211,1524,2024-07-05,2024-07-07,SHIPPED,30.76,MEDIUM,North
212,1159,2024-03-16,2024-03-18,SHIPPED,29.3,LOW,North
213,1838,2024-09-29,2024-09-30,PENDING,34.98,MEDIUM,North
214,1698,2024-05-28,2024-05-30,PENDING,36.44,LOW,North
215,1242,2024-07-13,2024-07-16,SHIPPED,17.3,MEDIUM,West
216,1085,2024-12-29,2025-01-03,PENDING,30.53,LOW,West
217,1795,2024-10-10,2024-10-14,SHIPPED,34.55,HIGH,South
218,1577,2024-02-13,2024-02-17,SHIPPED,14.72,LOW,South
219,1681,2024-06-18,2024-06-22,CANCELLED,37.12,HIGH,West
220,1556,2024-04-03,2024-04-08,SHIPPED,26.52,LOW,North
221,1573,2024-08-11,2024-08-13,SHIPPED,53.85,LOW,West
222,1952,2024-10-04,2024-10-09,SHIPPED,40.2,MEDIUM,West
223,1645,2024-02-07,2024-02-12,SHIPPED,33.67,MEDIUM,North
224,1795,2024-09-26,2024-09-27,PENDING,67.19,MEDIUM,East
225,1027,2024-08-22,2024-08-27,CANCELLED,45.45,HIGH,West
226,1619,2024-04-20,2024-04-21,SHIPPED,26.66,MEDIUM,West
227,1555,2024-06-16,2024-06-19,SHIPPED,71.53,MEDIUM,North
228,1339,2024-02-23,2024-02-24,SHIPPED,32.17,LOW,South
229,1797,2024-05-06,2024-05-10,PENDING,40.57,LOW,East
230,1957,2024-10-01,2024-10-02,SHIPPED,27.73,LOW,West
231,1330,2024-02-11,2024-02-14,SHIPPED,35.69,HIGH,East
232,1639,2024-02-10,2024-02-15,SHIPPED,38.69,LOW,West
233,1505,2024-02-19,2024-02-23,PENDING,38.94,HIGH,East
234,1347,2024-06-07,2024-06-08,SHIPPED,27.23,MEDIUM,East
235,1472,2024-11-27,2024-11-29,SHIPPED,24.15,MEDIUM,East
236,1230,2024-06-30,2024-07-05,SHIPPED,25.01,MEDIUM,West
237,1189,2024-06-29,2024-07-03,SHIPPED,69.35,MEDIUM,South
238,1224,2024-06-14,2024-06-18,PENDING,49.39,HIGH,East
239,1384,2024-08-19,2024-08-20,PENDING,15.65,LOW,North
240,1376,2024-07-24,2024-07-29,PENDING,19.99,MEDIUM,South
241,1282,2024-12-20,2024-12-25,SHIPPED,12.95,HIGH,West
242,1957,2024-02-19,2024-02-21,SHIPPED,17.61,MEDIUM,West
243,1632,2024-05-25,2024-05-27,CANCELLED,39.82,LOW,North
244,1627,2024-10-24,2024-10-28,SHIPPED,76.82,LOW,North
245,1972,2024-05-24,2024-05-28,PENDING,14.76,MEDIUM,East
246,1744,2024-01-16,2024-01-19,SHIPPED,50.47,MEDIUM,South
247,1258,2024-03-25,2024-03-29,SHIPPED,26.41,LOW,East
248,1358,2024-08-03,2024-08-05,PENDING,36.83,MEDIUM,West
249,1709,2024-02-21,2024-02-22,SHIPPED,67.46,HIGH,West
250,1455,2024-02-05,2024-02-08,SHIPPED,31.58,HIGH,South
251,1410,2024-04-16,2024-04-20,PENDING,17.31,MEDIUM,East
252,1648,2024-08-06,2024-08-08,CANCELLED,21.91,LOW,North
253,1317,2024-12-02,2024-12-05,SHIPPED,40.2,MEDIUM,South
254,1676,2024-10-24,2024-10-25,SHIPPED,30.83,LOW,West
255,1224,2024-09-10,2024-09-11,SHIPPED,34.52,MEDIUM,South
256,1818,2024-03-08,2024-03-10,SHIPPED,16.64,LOW,South
257,1233,2024-07-05,2024-07-10,PENDING,33.52,MEDIUM,East
258,1683,2024-05-03,2024-05-05,SHIPPED,26.67,MEDIUM,South
259,1663,2024-01-30,2024-02-01,PENDING,23.28,MEDIUM,North
260,1974,2024-07-03,2024-07-05,SHIPPED,24.31,LOW,South
261,1826,2024-10-15,2024-10-20,PENDING,23.53,MEDIUM,East
262,1373,2024-12-24,2024-12-28,SHIPPED,88.51,LOW,West
263,1671,2024-02-22,2024-02-26,SHIPPED,81.73,MEDIUM,North
264,1607,2024-06-25,2024-06-26,SHIPPED,29.38,HIGH,North
265,1471,2024-05-12,2024-05-16,SHIPPED,117.27,HIGH,South
266,1232,2024-12-27,2024-12-29,SHIPPED,29.78,MEDIUM,East
267,1691,2024-03-17,2024-03-21,SHIPPED,38.96,LOW,West
268,1112,2024-12-15,2024-12-20,SHIPPED,49.95,LOW,West
269,1829,2024-02-29,2024-03-04,PENDING,36.79,LOW,South
270,1496,2024-11-06,2024-11-08,PENDING,39.26,HIGH,East
271,1441,2024-03-31,2024-04-04,SHIPPED,20.87,MEDIUM,East
272,1563,2024-10-24,2024-10-25,CANCELLED,19.19,HIGH,West
273,1267,2024-11-20,2024-11-24,SHIPPED,44.42,MEDIUM,North
274,1509,2024-10-06,2024-10-07,CANCELLED,24.52,LOW,South
275,1806,2024-07-17,2024-07-20,CANCELLED,23.5,LOW,West
276,1385,2024-04-27,2024-05-02,CANCELLED,19.22,MEDIUM,North
277,1386,2024-07-01,2024-07-02,SHIPPED,39.69,LOW,East
278,1112,2024-02-24,2024-02-27,SHIPPED,6.78,MEDIUM,North
279,1612,2024-09-27,2024-09-30,SHIPPED,66.11,HIGH,East
280,1624,2024-01-05,2024-01-07,SHIPPED,34.19,HIGH,West
281,1951,2024-04-10,2024-04-13,SHIPPED,57.93,LOW,East
282,1080,2024-10-12,2024-10-17,SHIPPED,20.41,LOW,West
283,1698,2024-02-22,2024-02-27,SHIPPED,76.03,HIGH,North
284,1112,2024-08-05,2024-08-10,SHIPPED,28.89,LOW,East
285,1001,2024-11-24,2024-11-29,SHIPPED,28.82,LOW,West
286,1641,2024-10-12,2024-10-14,PENDING,26.25,LOW,East
287,1219,2024-08-27,2024-08-31,CANCELLED,67.96,HIGH,North
288,1565,2024-08-01,2024-08-02,SHIPPED,43.92,MEDIUM,North
289,1854,2024-04-13,2024-04-15,CANCELLED,28.57,LOW,East
290,1996,2024-12-26,2024-12-28,SHIPPED,54.8,LOW,West
291,1735,2024-12-29,2024-12-30,SHIPPED,28.35,MEDIUM,North
292,1224,2024-08-09,2024-08-10,SHIPPED,23.32,LOW,South
293,1384,2024-12-05,2024-12-09,SHIPPED,31.54,LOW,East
294,1402,2024-12-13,2024-12-17,SHIPPED,38.55,MEDIUM,East
295,1637,2024-07-07,2024-07-12,SHIPPED,15.53,MEDIUM,East
296,1129,2024-11-22,2024-11-26,CANCELLED,31.82,MEDIUM,West
297,1052,2024-11-19,2024-11-23,PENDING,54.87,HIGH,North
298,1683,2024-11-06,2024-11-07,SHIPPED,43.25,LOW,West
299,1729,2024-04-08,2024-04-11,SHIPPED,22.44,MEDIUM,West
300,1671,2024-04-06,2024-04-11,SHIPPED,19.31,MEDIUM,West
301,1709,2024-11-22,2024-11-27,PENDING,58.44,LOW,East
302,1415,2024-03-13,2024-03-15,SHIPPED,29.06,LOW,South
303,1246,2024-09-12,2024-09-16,SHIPPED,49.85,MEDIUM,North
304,1835,2024-08-18,2024-08-22,SHIPPED,61.54,HIGH,West
305,1438,2024-06-18,2024-06-19,SHIPPED,29.58,LOW,North
306,1202,2024-11-28,2024-12-02,PENDING,22.19,MEDIUM,East
307,1183,2024-06-05,2024-06-07,SHIPPED,23.04,LOW,North
308,1122,2024-08-09,2024-08-10,SHIPPED,43.74,HIGH,East
309,1400,2024-12-29,2025-01-03,SHIPPED,13.55,LOW,East
310,1766,2024-12-11,2024-12-15,PENDING,24.99,MEDIUM,South
311,1293,2024-04-08,2024-04-12,SHIPPED,34.11,MEDIUM,North
312,1279,2024-08-07,2024-08-09,SHIPPED,25.55,MEDIUM,East
313,1836,2024-08-31,2024-09-02,SHIPPED,44.63,MEDIUM,South
314,1883,2024-09-15,2024-09-16,SHIPPED,23.51,LOW,South
315,1609,2024-07-12,2024-07-17,SHIPPED,84.22,MEDIUM,North
316,1197,2024-05-29,2024-05-31,SHIPPED,19.44,HIGH,East
317,1981,2024-06-03,2024-06-05,SHIPPED,34.25,LOW,West
318,1906,2024-01-22,2024-01-27,SHIPPED,62.91,MEDIUM,North
319,1510,2024-04-25,2024-04-28,SHIPPED,17.81,MEDIUM,East
320,1751,2024-04-22,2024-04-23,SHIPPED,60.26,LOW,West
321,1143,2024-07-29,2024-08-01,SHIPPED,23.43,HIGH,East
322,1608,2024-01-24,2024-01-29,SHIPPED,64.56,HIGH,West
323,1200,2024-10-09,2024-10-13,SHIPPED,84.68,HIGH,West
324,1123,2024-10-18,2024-10-19,SHIPPED,29.16,LOW,West
325,1186,2024-12-28,2025-01-02,SHIPPED,23.61,MEDIUM,West
326,1325,2024-02-25,2024-03-01,SHIPPED,18.71,MEDIUM,East
327,1463,2024-09-22,2024-09-23,SHIPPED,33.66,MEDIUM,North
328,1348,2024-02-23,2024-02-26,CANCELLED,32.41,HIGH,North
329,1770,2024-12-02,2024-12-06,SHIPPED,40.8,MEDIUM,East
330,1659,2024-04-17,2024-04-20,SHIPPED,63.51,LOW,North
331,1763,2024-07-20,2024-07-22,SHIPPED,24.18,MEDIUM,East
332,1954,2024-07-20,2024-07-23,SHIPPED,54.55,HIGH,North
333,1931,2024-12-02,2024-12-04,SHIPPED,70.98,MEDIUM,West
334,1402,2024-08-05,2024-08-06,SHIPPED,47.6,MEDIUM,North
335,1345,2024-08-30,2024-09-01,PENDING,22.26,HIGH,West
336,1962,2024-12-19,2024-12-24,SHIPPED,24.7,MEDIUM,West
337,1510,2024-06-26,2024-06-28,SHIPPED,16.01,MEDIUM,East
338,1146,2024-03-01,2024-03-06,SHIPPED,44.13,MEDIUM,North
339,1147,2024-02-05,2024-02-10,SHIPPED,43.6,MEDIUM,West
340,1863,2024-12-23,2024-12-26,SHIPPED,18.88,LOW,West
341,1710,2024-02-15,2024-02-19,PENDING,34.75,HIGH,North
342,1819,2024-04-04,2024-04-07,PENDING,34.94,LOW,East
343,1488,2024-11-22,2024-11-25,PENDING,25.24,MEDIUM,West
344,1928,2024-02-13,2024-02-18,SHIPPED,35.8,MEDIUM,West
345,1935,2024-11-15,2024-11-19,SHIPPED,22.31,MEDIUM,North
346,1639,2024-08-13,2024-08-18,SHIPPED,30.08,LOW,South
347,1550,2024-05-25,2024-05-29,SHIPPED,21.04,MEDIUM,South
348,1337,2024-09-25,2024-09-27,SHIPPED,12.82,MEDIUM,West
349,1871,2024-01-13,2024-01-18,SHIPPED,17.03,MEDIUM,East
350,1640,2024-01-25,2024-01-28,SHIPPED,52.33,LOW,South
351,1778,2024-09-17,2024-09-22,SHIPPED,37.98,MEDIUM,South
352,1987,2024-05-07,2024-05-08,SHIPPED,11.2,LOW,East
353,1952,2024-02-08,2024-02-09,SHIPPED,17.69,MEDIUM,East
354,1472,2024-06-05,2024-06-06,PENDING,34.34,MEDIUM,East
355,1945,2024-12-29,2025-01-01,PENDING,32.51,MEDIUM,South
356,1150,2024-07-03,2024-07-06,SHIPPED,78.55,LOW,East
357,1414,2024-06-22,2024-06-23,SHIPPED,15.11,MEDIUM,West
358,1989,2024-07-04,2024-07-07,SHIPPED,23.33,MEDIUM,South
359,1297,2024-10-07,2024-10-10,SHIPPED,14.98,MEDIUM,West
360,1610,2024-03-14,2024-03-17,SHIPPED,34.38,MEDIUM,West
361,1262,2024-10-21,2024-10-22,SHIPPED,11.62,MEDIUM,West
362,1763,2024-01-16,2024-01-18,SHIPPED,22.08,HIGH,East
363,1143,2024-07-06,2024-07-08,SHIPPED,30.03,LOW,East
364,1345,2024-06-20,2024-06-24,SHIPPED,58.58,MEDIUM,West
365,1623,2024-07-04,2024-07-09,SHIPPED,25.3,HIGH,South
366,1571,2024-02-01,2024-02-03,SHIPPED,95.59,HIGH,North
367,1880,2024-03-03,2024-03-07,PENDING,103.08,HIGH,North
368,1001,2024-12-14,2024-12-16,SHIPPED,16.17,LOW,East
369,1896,2024-10-27,2024-10-28,SHIPPED,25.47,MEDIUM,West
370,1303,2024-11-04,2024-11-08,SHIPPED,23.11,MEDIUM,West
371,1253,2024-07-07,2024-07-08,PENDING,86.11,HIGH,West
372,1651,2024-11-01,2024-11-02,SHIPPED,13.92,MEDIUM,West
373,1452,2024-01-26,2024-01-30,SHIPPED,21.91,HIGH,South
374,1036,2024-12-11,2024-12-15,SHIPPED,65.38,HIGH,South
375,1159,2024-02-08,2024-02-10,PENDING,56.57,LOW,North
